,ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location,community_area
802,169,Canal St & Harrison St,15,15,In Service,41.874255,-87.639573,"(41.874255, -87.639573)",NEAR_WEST_SIDE
803,349,Halsted St & Wrightwood Ave,15,15,In Service,41.929143,-87.649077,"(41.929143, -87.649077)",LINCOLN_PARK
804,88,Racine Ave & Randolph St,19,19,In Service,41.884069,-87.656853,"(41.884069, -87.656853)",NEAR_WEST_SIDE
805,577,Stony Island Ave & South Chicago Ave,11,11,In Service,41.751173,-87.585337,"(41.751173, -87.585337)",AVALON_PARK
806,556,Throop St & 52nd St,7,7,In Service,41.799659,-87.657195,"(41.799659, -87.657195)",NEW_CITY
807,534,Karlov Ave & Madison St,11,11,In Service,41.88085,-87.727907,"(41.88085, -87.727907)",WEST_GARFIELD_PARK
808,203,Western Ave & 21st St,15,15,In Service,41.854109,-87.685838,"(41.854109, -87.685838)",LOWER_WEST_SIDE
809,330,Lincoln Ave & Addison St,19,19,In Service,41.946176,-87.673308,"(41.946176, -87.673308)",LAKE_VIEW
810,626,Delano Ct & Roosevelt Rd,19,19,In Service,41.867491,-87.63219,"(41.867491, -87.63219)",LOOP
811,1674190170827532584,Public Rack - Austin Ave & Wellington Ave,1,1,In Service,41.9352453,-87.776052,"(41.9352453, -87.776052)",BELMONT_CRAGIN
812,1674190196597336410,Public Rack - Bell Ave & 95th St,2,2,In Service,41.721188,-87.678786,"(41.721188, -87.678786)",BEVERLY
813,268,DuSable Lake Shore Dr & North Blvd,39,39,In Service,41.911722,-87.626804,"(41.911722, -87.626804)",LINCOLN_PARK
814,216,California Ave & Division St,15,15,In Service,41.903029,-87.697474,"(41.903029, -87.697474)",WEST_TOWN
815,595,Wabash Ave & 87th St,11,11,In Service,41.736218767,-87.622645497,"(41.736218766793954, -87.62264549732208)",CHATHAM
816,260,Kedzie Ave & Milwaukee Ave,35,35,In Service,41.929567,-87.707857,"(41.929567, -87.707857)",LOGAN_SQUARE
817,527,Western Ave & Howard St,15,15,In Service,42.018901,-87.690048,"(42.018901, -87.690048)",WEST_RIDGE
818,23,Orleans St & Elm St,15,15,In Service,41.902924,-87.637715,"(41.902924, -87.637715)",NEAR_NORTH_SIDE
819,55,Halsted St & Roosevelt Rd,23,23,In Service,41.867324,-87.648625,"(41.867324, -87.648625)",NEAR_WEST_SIDE
820,627,LaSalle Dr & Huron St,19,19,In Service,41.894877,-87.632326,"(41.894877, -87.632326)",NEAR_NORTH_SIDE
821,402,Shields Ave & 31st St,15,15,In Service,41.838464,-87.635406,"(41.838464, -87.635406)",ARMOUR_SQUARE
822,298,Lincoln Ave & Belle Plaine Ave,15,15,In Service,41.956003551,-87.680161446,"(41.95600355078549, -87.68016144633293)",NORTH_CENTER
823,317,Wood St & Taylor St (Temp),23,23,In Service,41.869265218,-87.67373085,"(41.869265218438194, -87.67373085021973)",NEAR_WEST_SIDE
824,539,Cicero Ave & Quincy St,11,11,In Service,41.877613,-87.745405,"(41.877613, -87.745405)",AUSTIN
825,106,State St & Pearson St,27,27,In Service,41.897448,-87.628722,"(41.897448, -87.628722)",NEAR_NORTH_SIDE
826,204,Prairie Ave & Garfield Blvd,11,11,In Service,41.794853,-87.618691,"(41.794853, -87.618691)",WASHINGTON_PARK
827,77,Clinton St & Madison St,31,31,In Service,41.882242,-87.641066,"(41.882242, -87.641066)",NEAR_WEST_SIDE
828,436,Fairfield Ave & Roosevelt Rd,11,11,In Service,41.866624,-87.694521,"(41.866624, -87.694521)",NORTH_LAWNDALE
829,333,Ashland Ave & Blackhawk St,15,15,In Service,41.907066,-87.667252,"(41.907066, -87.667252)",WEST_TOWN
830,659,Leavitt St & Chicago Ave,15,15,In Service,41.895501,-87.682017,"(41.895501, -87.682017)",WEST_TOWN
831,385,Princeton Ave & Garfield Blvd,11,11,In Service,41.794982,-87.633124,"(41.794982, -87.633124)",FULLER_PARK
832,540,Laramie Ave & Madison St,11,11,In Service,41.880207,-87.755337,"(41.880207, -87.755337)",AUSTIN
833,80,Aberdeen St & Monroe St,19,19,In Service,41.880419,-87.655519,"(41.880419, -87.655519)",NEAR_WEST_SIDE
834,456,2112 W Peterson Ave,11,11,In Service,41.991178,-87.683593,"(41.991178, -87.683593)",WEST_RIDGE
835,14,Morgan St & 18th St,15,15,In Service,41.858086,-87.651073,"(41.858086, -87.651073)",LOWER_WEST_SIDE
836,109,900 W Harrison St,19,19,In Service,41.874754,-87.649807,"(41.874754, -87.649807)",NEAR_WEST_SIDE
837,227,Southport Ave & Waveland Ave,23,23,In Service,41.94815,-87.66394,"(41.94815, -87.66394)",LAKE_VIEW
838,152,Lincoln Ave & Diversey Pkwy,15,15,In Service,41.932225,-87.658617,"(41.932225, -87.658617)",LINCOLN_PARK
839,301,Clark St & Schiller St,19,19,In Service,41.907993,-87.631501,"(41.907993, -87.631501)",NEAR_NORTH_SIDE
840,243,Lincoln Ave & Sunnyside Ave,15,15,In Service,41.963004,-87.684781,"(41.963004, -87.684781)",LINCOLN_SQUARE
841,118,Sedgwick St & North Ave,19,19,In Service,41.911386,-87.638677,"(41.911386, -87.638677)",LINCOLN_PARK
842,339,Emerald Ave & 31st St,11,11,In Service,41.838198,-87.645143,"(41.838198, -87.645143)",BRIDGEPORT
843,338,Calumet Ave & 18th St,15,15,In Service,41.857611,-87.619407,"(41.857611, -87.619407)",NEAR_SOUTH_SIDE
844,660,Sheridan Rd & Columbia Ave,15,15,In Service,42.004583,-87.661406,"(42.004583, -87.661406)",ROGERS_PARK
845,341,Adler Planetarium,39,39,In Service,41.866095,-87.607267,"(41.866095, -87.607267)",NEAR_SOUTH_SIDE
846,663,Lincolnwood Dr & Central St,15,15,In Service,42.064854,-87.715297,"(42.064854, -87.715297)",Not Found
847,174,Canal St & Madison St,35,35,In Service,41.882091,-87.639833,"(41.882091, -87.639833)",NEAR_WEST_SIDE
